date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:26%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_DATE_UTC	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_DATE_UTC	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:26%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_SCHEMA	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_SCHEMA	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:26%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_TIME	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_TIME	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:27%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_TIMESTAMP	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CURRENT_TIMESTAMP	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:27%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATEDIFF	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATEDIFF	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:27%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATETYPE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATETYPE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:27%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_ADD	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_ADD	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:27%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_DIFF	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_DIFF	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:28%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_PART	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_PART	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:28%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_SUB	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/DATE_SUB	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
